[09-22 10:17:47.865]  25016 32868 E uvc_camera_win.cc:0109:  [DEBUG] GetCommand: length-probe GET failed, propId=0x1a nodeId=0x1 requestedDataSize=255 hr=0x800701b1 (指定不存在的设备。)
[09-22 10:17:47.867]  25016 32868 E uvc_camera_win.cc:0138:  failed to get command
[09-22 10:17:47.930]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:47.931]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:47.955]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:47.958]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:47.981]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:47.983]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:48.003]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:48.004]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:52.718]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:52.718]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:52.721]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:52.722]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:52.725]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:52.726]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:52.730]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:52.731]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:52.734]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:52.734]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:57.733]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:57.734]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:57.738]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:57.738]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:57.742]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:57.743]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:57.746]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:57.747]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:57.750]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
[09-22 10:17:57.751]  25016 32868 E uvc_camera_win.cc:1091:  WinUVCCameraExtendController::GetKsControlInterface FindCaptureDevice failed, hr: 1, friendly_name: Insta360 Link 2, display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global
[09-22 10:17:57.822]  25016 32868 E dshow_helper.hpp:0201:  FindCaptureDevice failed, target friendly_name: Insta360 Link 2, target display_name: @device:pnp:\\?\usb#vid_2e1a&pid_4c04&mi_00#6&1af69d02&0&0000#{65e8773d-8f56-11d0-a3b9-00a0c9223196}\global, hr: 1
